Topologia,Avg_RSSI,DIO_Count,DIS_Count,Rank_Changes,PDR,Avg_Delay,Throughput_kbps,Energy_Consumed,Attack_Class
Grid_36,-65.1,26,2,2,100.0,14.4,38.51,0.36,Normal
Grid_36,-66.3,30,4,1,92.77,14.4,30.41,0.36,Normal
Grid_36,-62.9,26,4,0,100.0,14.4,30.16,0.36,Normal
Grid_36,-62.3,34,3,1,95.45,14.4,32.29,0.36,Normal
Grid_36,-64.0,30,3,0,100.0,14.4,37.76,0.36,Normal
Grid_36,-65.4,33,4,0,100.0,14.4,32.29,0.36,Normal
Grid_36,-65.5,28,2,2,100.0,14.4,35.95,0.36,Normal
Grid_36,-61.5,30,3,1,100.0,14.4,38.0,0.36,Normal
Grid_36,-66.6,24,3,2,100.0,14.4,37.61,0.36,Normal
Grid_36,-62.8,29,3,0,100.0,14.4,37.42,0.36,Normal
Grid_36,-64.0,31,2,2,98.39,14.4,36.12,0.36,Normal
Grid_36,-64.5,24,4,1,86.15,14.4,32.87,0.36,Normal
Grid_36,-64.9,31,3,0,92.87,14.4,30.28,0.36,Normal
Grid_36,-63.3,26,3,1,100.0,14.4,33.82,0.36,Normal
Grid_36,-68.5,30,3,1,95.62,14.4,33.8,0.36,Normal
Grid_36,-65.4,30,4,0,100.0,14.4,35.18,0.36,Normal
Grid_36,-65.2,26,4,2,94.91,14.4,29.36,0.36,Normal
Grid_36,-63.6,27,2,2,92.33,14.4,27.55,0.36,Normal
Grid_36,-64.9,28,4,1,100.0,14.4,30.02,0.36,Normal
Grid_36,-65.2,23,3,2,100.0,14.4,40.02,0.36,Normal
Grid_36,-66.4,25,3,2,99.64,14.4,29.41,0.36,Normal
Grid_36,-65.6,20,3,1,100.0,14.4,28.94,0.36,Normal
Grid_36,-65.8,27,3,1,93.13,14.4,42.44,0.36,Normal
Grid_36,-65.1,27,3,0,100.0,14.4,33.72,0.36,Normal
Grid_36,-66.6,32,3,1,97.04,14.4,39.87,0.36,Normal
Grid_36,-64.1,31,3,1,100.0,14.4,32.9,0.36,Normal
Grid_36,-63.2,22,3,1,100.0,14.4,33.14,0.36,Normal
Grid_36,-63.4,31,4,0,100.0,14.4,30.84,0.36,Normal
Grid_36,-64.9,32,4,2,100.0,14.4,35.47,0.36,Normal
Grid_36,-67.7,29,3,2,95.03,14.4,37.22,0.36,Normal
Grid_36,-65.6,29,4,1,97.72,14.4,35.57,0.36,Normal
Grid_36,-65.0,20,3,0,96.93,14.4,35.35,0.36,Normal
Grid_36,-64.3,29,3,1,95.17,14.4,36.21,0.36,Normal
Grid_36,-62.7,27,2,1,98.08,14.4,37.14,0.36,Normal
Grid_36,-67.8,24,3,0,98.67,14.4,37.03,0.36,Normal
Grid_36,-64.6,27,3,1,96.62,14.4,33.82,0.36,Normal
Grid_36,-62.7,32,4,2,100.0,14.4,34.51,0.36,Normal
Grid_36,-64.2,32,3,1,92.57,14.4,37.69,0.36,Normal
Grid_36,-65.7,25,3,0,90.34,14.4,32.9,0.36,Normal
Grid_36,-63.4,29,4,2,95.27,14.4,31.56,0.36,Normal
Grid_36,-65.3,26,4,0,100.0,14.4,38.78,0.36,Normal
Grid_36,-67.3,31,3,0,100.0,14.4,32.66,0.36,Normal
Grid_36,-68.0,33,2,1,100.0,14.4,28.26,0.36,Normal
Grid_36,-67.8,29,3,0,100.0,14.4,35.9,0.36,Normal
Grid_36,-66.3,29,3,2,88.7,14.4,33.31,0.36,Normal
Grid_36,-63.5,22,4,0,96.78,14.4,38.23,0.36,Normal
Grid_36,-68.4,28,2,2,85.68,14.4,29.89,0.36,Normal
Grid_36,-64.5,28,4,1,96.81,14.4,33.78,0.36,Normal
Grid_36,-66.4,29,3,2,94.4,14.4,34.24,0.36,Normal
Grid_36,-64.1,28,3,2,98.44,14.4,37.44,0.36,Normal
Grid_36,-65.9,29,4,0,95.4,14.4,34.52,0.36,Normal
Grid_36,-65.0,32,3,2,97.15,14.4,31.15,0.36,Normal
Grid_36,-66.6,24,3,1,99.67,14.4,33.14,0.36,Normal
Grid_36,-63.4,27,4,1,100.0,14.4,36.14,0.36,Normal
Grid_36,-60.9,31,3,2,100.0,14.4,32.64,0.36,Normal
Grid_36,-64.4,28,3,1,100.0,14.4,33.58,0.36,Normal
Grid_36,-67.6,27,2,0,95.51,14.4,37.05,0.36,Normal
Grid_36,-66.9,28,2,1,90.0,14.4,33.46,0.36,Normal
Grid_36,-67.0,27,2,1,100.0,14.4,37.74,0.36,Normal
Grid_36,-67.3,30,2,2,96.12,14.4,28.92,0.36,Normal
Grid_36,-64.9,27,4,1,100.0,14.4,31.42,0.36,Normal
Grid_36,-67.7,29,3,1,98.34,14.4,33.67,0.36,Normal
Grid_36,-61.6,29,3,0,99.79,14.4,32.82,0.36,Normal
Grid_36,-63.4,32,3,1,100.0,14.4,29.49,0.36,Normal
Grid_36,-68.7,29,4,2,100.0,14.4,31.64,0.36,Normal
Grid_36,-63.4,29,3,0,94.53,14.4,33.55,0.36,Normal
Grid_36,-64.4,25,3,1,100.0,14.4,32.16,0.36,Normal
Grid_36,-63.8,27,3,0,100.0,14.4,41.65,0.36,Normal
Grid_36,-63.6,31,3,0,100.0,14.4,40.18,0.36,Normal
Grid_36,-59.5,24,3,0,95.68,14.4,36.25,0.36,Normal
Grid_36,-65.1,31,3,1,99.62,14.4,33.68,0.36,Normal
Grid_36,-65.0,28,3,0,94.46,14.4,30.8,0.36,Normal
Grid_36,-68.4,27,2,1,100.0,14.4,35.23,0.36,Normal
Grid_36,-66.1,30,3,0,95.6,14.4,32.69,0.36,Normal
Grid_36,-65.3,38,3,1,95.84,14.4,32.19,0.36,Normal
Grid_36,-62.8,23,3,0,100.0,14.4,37.38,0.36,Normal
Grid_36,-66.8,30,4,2,97.98,14.4,29.21,0.36,Normal
Grid_36,-66.5,27,2,1,95.71,14.4,42.43,0.36,Normal
Grid_36,-65.5,25,3,2,87.09,14.4,29.11,0.36,Normal
Grid_36,-65.5,29,4,1,100.0,14.4,33.17,0.36,Normal
Grid_36,-59.2,29,3,1,100.0,14.4,33.83,0.36,Normal
Grid_36,-66.1,27,3,0,99.57,14.4,28.65,0.36,Normal
Grid_36,-69.4,28,3,0,90.85,14.4,39.71,0.36,Normal
Grid_36,-65.5,26,4,0,95.22,14.4,34.75,0.36,Normal
Grid_36,-63.4,36,3,0,89.42,14.4,33.09,0.36,Normal
Grid_36,-66.2,32,3,2,98.24,14.4,38.49,0.36,Normal
Grid_36,-66.1,28,2,2,92.05,14.4,29.73,0.36,Normal
Grid_36,-60.3,31,3,0,97.58,14.4,34.28,0.36,Normal
Grid_36,-66.9,32,3,0,97.16,14.4,35.17,0.36,Normal
Grid_36,-62.1,30,2,2,96.36,14.4,31.61,0.36,Normal
Grid_36,-63.0,31,3,2,96.02,14.4,35.01,0.36,Normal
Grid_36,-65.7,24,3,2,100.0,14.4,34.64,0.36,Normal
Grid_36,-66.2,28,3,2,91.61,14.4,32.72,0.36,Normal
Grid_36,-64.6,31,3,1,95.92,14.4,34.88,0.36,Normal
Grid_36,-65.8,28,3,0,99.63,14.4,33.56,0.36,Normal
Grid_36,-64.9,24,3,0,90.13,14.4,38.48,0.36,Normal
Grid_36,-59.4,29,3,2,100.0,14.4,31.6,0.36,Normal
Grid_36,-65.5,28,4,2,92.32,14.4,35.94,0.36,Normal
Grid_36,-67.8,30,2,2,99.6,14.4,36.85,0.36,Normal
Grid_36,-64.9,25,3,0,93.65,14.4,37.61,0.36,Normal
Grid_36,-66.0,29,3,2,100.0,14.4,33.42,0.36,Normal
Grid_36,-66.8,28,2,0,97.85,14.4,28.62,0.36,Normal
Grid_36,-66.8,27,3,2,100.0,14.4,34.4,0.36,Normal
Grid_36,-65.3,29,4,0,100.0,14.4,32.26,0.36,Normal
Grid_36,-66.4,32,2,0,100.0,14.4,34.63,0.36,Normal
Grid_36,-61.5,30,2,2,96.73,14.4,34.68,0.36,Normal
Grid_36,-60.3,34,3,2,100.0,14.4,37.17,0.36,Normal
Grid_36,-66.6,27,3,1,91.24,14.4,35.26,0.36,Normal
Grid_36,-69.8,26,3,0,100.0,14.4,31.61,0.36,Normal
Grid_36,-65.9,27,3,0,100.0,14.4,31.84,0.36,Normal
Grid_36,-62.9,32,3,0,98.51,14.4,35.52,0.36,Normal
Grid_36,-61.5,36,3,1,95.96,14.4,32.24,0.36,Normal
Grid_36,-62.3,28,4,1,96.7,14.4,30.17,0.36,Normal
Grid_36,-66.2,28,4,2,100.0,14.4,33.73,0.36,Normal
Grid_36,-64.9,33,3,2,98.3,14.4,29.54,0.36,Normal
Grid_36,-65.7,30,3,2,98.77,14.4,35.01,0.36,Normal
Grid_36,-67.4,28,3,2,100.0,14.4,36.62,0.36,Normal
Grid_36,-64.6,30,3,2,100.0,14.4,36.06,0.36,Normal
Grid_36,-66.3,27,3,2,100.0,14.4,31.05,0.36,Normal
Grid_36,-64.1,31,3,1,89.77,14.4,34.37,0.36,Normal
Grid_36,-66.7,33,3,2,96.83,14.4,36.25,0.36,Normal
Grid_36,-67.4,25,4,0,97.71,14.4,36.37,0.36,Normal
Grid_36,-65.9,28,2,1,94.24,14.4,30.59,0.36,Normal
Grid_36,-67.2,27,3,0,96.11,14.4,31.29,0.36,Normal
Grid_36,-62.5,28,4,0,99.44,14.4,42.48,0.36,Normal
Grid_36,-65.8,29,4,2,97.57,14.4,34.21,0.36,Normal
Grid_36,-65.0,30,3,0,100.0,14.4,37.22,0.36,Normal
Grid_36,-66.3,30,3,2,100.0,14.4,32.46,0.36,Normal
Grid_36,-62.6,22,3,1,96.08,14.4,38.12,0.36,Normal
Grid_36,-64.7,24,3,1,100.0,14.4,35.72,0.36,Normal
Grid_36,-64.4,28,2,1,97.45,14.4,36.74,0.36,Normal
Grid_36,-64.6,29,2,2,96.48,14.4,34.91,0.36,Normal
Grid_36,-65.8,30,2,0,88.16,14.4,34.65,0.36,Normal
Grid_36,-64.5,35,3,0,99.17,14.4,32.94,0.36,Normal
Grid_36,-64.8,32,3,0,92.95,14.4,34.92,0.36,Normal
Grid_36,-65.7,28,4,1,99.65,14.4,32.02,0.36,Normal
Grid_36,-62.9,32,3,1,97.7,14.4,37.81,0.36,Normal
Grid_36,-66.7,28,3,1,99.71,14.4,34.07,0.36,Normal
Grid_36,-66.0,26,3,1,100.0,14.4,37.71,0.36,Normal
Grid_36,-65.7,28,4,0,91.8,14.4,35.2,0.36,Normal
Grid_36,-65.5,27,4,1,93.88,14.4,26.48,0.36,Normal
Grid_36,-63.8,26,4,1,98.62,14.4,33.36,0.36,Normal
Grid_36,-67.0,27,2,1,98.06,14.4,33.04,0.36,Normal
Grid_36,-65.6,30,4,2,97.17,14.4,31.03,0.36,Normal
Grid_36,-65.7,30,2,2,100.0,14.4,40.72,0.36,Normal
Grid_36,-65.2,28,3,2,100.0,14.4,38.13,0.36,Normal
Grid_36,-65.4,25,3,0,100.0,14.4,37.71,0.36,Normal
Grid_36,-66.0,24,3,2,98.42,14.4,37.86,0.36,Normal
Grid_36,-63.2,25,4,1,95.42,14.4,33.9,0.36,Normal
Grid_36,-68.0,28,4,1,93.85,14.4,29.3,0.36,Normal
Grid_36,-65.0,28,3,2,99.13,14.4,34.52,0.36,Normal
Grid_36,-63.2,31,3,0,100.0,14.4,38.17,0.36,Normal
Grid_36,-65.5,23,2,0,100.0,14.4,31.37,0.36,Normal
Grid_36,-63.9,25,3,0,100.0,14.4,27.73,0.36,Normal
Grid_36,-65.3,30,3,1,98.68,14.4,27.21,0.36,Normal
Grid_36,-66.2,28,3,2,99.95,14.4,32.92,0.36,Normal
Grid_36,-68.3,26,3,1,100.0,14.4,35.63,0.36,Normal
Grid_36,-66.1,35,3,1,100.0,14.4,37.78,0.36,Normal
Grid_36,-61.0,27,3,0,96.56,14.4,29.41,0.36,Normal
Grid_36,-68.2,33,3,2,100.0,14.4,40.29,0.36,Normal
Grid_36,-64.9,28,2,0,99.02,14.4,42.13,0.36,Normal
Grid_36,-66.2,28,3,1,90.53,14.4,31.53,0.36,Normal
Grid_36,-65.4,26,3,2,99.6,14.4,35.86,0.36,Normal
Grid_36,-61.1,27,3,1,95.83,14.4,31.26,0.36,Normal
Grid_36,-66.9,33,4,2,100.0,14.4,37.06,0.36,Normal
Grid_36,-64.4,28,3,1,99.67,14.4,30.3,0.36,Normal
Grid_36,-63.0,30,3,1,91.34,14.4,37.91,0.36,Normal
Grid_36,-65.2,31,3,0,99.78,14.4,32.95,0.36,Normal
Grid_36,-64.0,30,3,1,98.88,14.4,38.14,0.36,Normal
Grid_36,-65.2,29,3,2,96.5,14.4,34.98,0.36,Normal
Grid_36,-70.6,30,3,2,97.9,14.4,40.18,0.36,Normal
Grid_36,-62.9,28,2,1,100.0,14.4,31.3,0.36,Normal
Grid_36,-59.5,30,3,1,100.0,14.4,33.97,0.36,Normal
Grid_36,-69.1,22,3,0,97.88,14.4,39.73,0.36,Normal
Grid_36,-66.8,28,3,2,97.47,14.4,33.25,0.36,Normal
Grid_36,-70.4,28,2,1,89.6,14.4,34.51,0.36,Normal
Grid_36,-64.8,28,3,2,100.0,14.4,34.98,0.36,Normal
Grid_36,-63.2,33,3,0,100.0,14.4,28.6,0.36,Normal
Grid_36,-64.4,27,3,0,92.84,14.4,35.24,0.36,Normal
Grid_36,-65.4,29,3,1,98.37,14.4,27.1,0.36,Normal
Grid_36,-64.5,26,4,2,100.0,14.4,31.99,0.36,Normal
Grid_36,-63.3,24,3,2,100.0,14.4,40.53,0.36,Normal
Grid_36,-65.3,27,3,1,100.0,14.4,37.86,0.36,Normal
Grid_36,-64.3,29,3,1,99.26,14.4,33.78,0.36,Normal
Grid_36,-64.6,33,3,2,100.0,14.4,31.03,0.36,Normal
Grid_36,-67.7,28,3,2,99.45,14.4,29.7,0.36,Normal
Grid_36,-64.4,29,4,1,100.0,14.4,32.56,0.36,Normal
Grid_36,-65.9,25,4,0,96.59,14.4,38.29,0.36,Normal
Grid_36,-68.9,29,3,0,90.14,14.4,33.88,0.36,Normal
Grid_36,-64.3,33,3,2,100.0,14.4,37.5,0.36,Normal
Grid_36,-68.2,28,3,2,95.5,14.4,34.95,0.36,Normal
Grid_36,-64.4,32,2,2,100.0,14.4,29.01,0.36,Normal
Grid_36,-66.0,32,3,0,99.39,14.4,33.83,0.36,Normal
Grid_36,-66.1,30,3,0,90.43,14.4,31.92,0.36,Normal
Grid_36,-64.4,30,3,1,99.15,14.4,34.93,0.36,Normal
Grid_36,-65.7,30,3,2,94.54,14.4,35.93,0.36,Normal
Grid_36,-66.0,26,3,0,93.61,14.4,35.95,0.36,Normal
Grid_36,-64.3,30,4,2,91.74,14.4,40.47,0.36,Normal
Grid_36,-65.0,24,4,1,100.0,14.4,34.17,0.36,Normal
Grid_36,-67.1,29,3,2,100.0,14.4,29.43,0.36,Normal
Grid_36,-66.9,30,3,0,96.01,14.4,31.42,0.36,Normal
Grid_36,-65.2,27,4,1,90.16,14.4,31.27,0.36,Normal
Grid_36,-64.7,27,5,1,100.0,14.4,31.5,0.36,Normal
Grid_36,-65.7,28,3,0,100.0,14.4,32.05,0.36,Normal
Grid_36,-62.9,30,4,0,100.0,14.4,38.48,0.36,Normal
Grid_36,-61.7,26,4,2,88.44,14.4,35.23,0.36,Normal
Grid_36,-64.1,26,3,2,94.75,14.4,39.68,0.36,Normal
Grid_36,-67.3,25,3,0,97.39,14.4,41.28,0.36,Normal
Grid_36,-64.3,24,4,1,100.0,14.4,35.17,0.36,Normal
Grid_36,-61.2,27,4,1,100.0,14.4,32.51,0.36,Normal
Grid_36,-65.5,27,3,1,96.35,14.4,36.65,0.36,Normal
Grid_36,-64.6,33,3,1,100.0,14.4,35.38,0.36,Normal
Grid_36,-65.5,29,3,1,98.17,14.4,32.95,0.36,Normal
Grid_36,-64.7,26,2,0,100.0,14.4,40.12,0.36,Normal
Grid_36,-64.8,22,2,2,99.16,14.4,37.89,0.36,Normal
Grid_36,-67.1,28,3,2,93.03,14.4,39.38,0.36,Normal
Grid_36,-64.5,28,4,1,100.0,14.4,34.05,0.36,Normal
Grid_36,-66.2,27,3,1,96.42,14.4,31.74,0.36,Normal
Grid_36,-63.1,26,3,1,94.04,14.4,32.06,0.36,Normal
Grid_36,-64.3,28,3,0,99.25,14.4,32.71,0.36,Normal
Grid_36,-63.8,28,3,0,97.33,14.4,37.07,0.36,Normal
Grid_36,-68.5,27,3,2,87.6,14.4,33.85,0.36,Normal
Grid_36,-68.6,29,4,1,93.58,14.4,39.22,0.36,Normal
Grid_36,-64.6,31,2,0,94.9,14.4,35.42,0.36,Normal
Grid_36,-66.0,32,3,2,89.65,14.4,31.5,0.36,Normal
Grid_36,-66.7,24,4,2,100.0,14.4,38.85,0.36,Normal
Grid_36,-65.1,24,3,2,98.26,14.4,29.59,0.36,Normal
Grid_36,-65.4,29,3,1,100.0,14.4,31.96,0.36,Normal
Grid_36,-63.3,28,4,0,86.19,14.4,36.39,0.36,Normal
Grid_36,-62.6,27,3,0,95.35,14.4,30.59,0.36,Normal
Grid_36,-63.3,31,2,1,100.0,14.4,32.03,0.36,Normal
Grid_36,-66.2,30,3,1,100.0,14.4,29.7,0.36,Normal
Grid_36,-68.1,25,2,0,94.5,14.4,36.8,0.36,Normal
Grid_36,-66.8,28,3,2,94.65,14.4,37.47,0.36,Normal
Grid_36,-63.2,28,3,2,87.32,14.4,30.18,0.36,Normal
Grid_36,-63.9,29,3,1,88.45,14.4,39.01,0.36,Normal
Grid_36,-64.3,27,3,1,95.4,14.4,35.71,0.36,Normal
Grid_36,-67.4,27,4,1,90.21,14.4,39.33,0.36,Normal
Grid_36,-62.8,24,3,1,97.41,14.4,38.18,0.36,Normal
Grid_36,-66.5,27,2,1,91.68,14.4,39.41,0.36,Normal
Grid_36,-64.6,28,3,1,100.0,14.4,27.2,0.36,Normal
Grid_36,-64.3,25,3,1,100.0,14.4,28.63,0.36,Normal
Grid_36,-64.5,29,2,1,88.02,14.4,32.36,0.36,Normal
Grid_36,-69.7,27,3,0,100.0,14.4,33.16,0.36,Normal
Grid_36,-64.6,28,3,2,91.89,14.4,42.12,0.36,Normal
Grid_36,-62.7,31,3,2,96.86,14.4,36.44,0.36,Normal
Grid_36,-66.4,30,4,0,100.0,14.4,34.77,0.36,Normal
Grid_36,-66.6,28,4,1,94.67,14.4,34.94,0.36,Normal
Grid_36,-69.0,28,3,0,100.0,14.4,33.63,0.36,Normal
Grid_36,-65.8,30,2,1,100.0,14.4,34.12,0.36,Normal
Grid_36,-66.1,24,4,2,100.0,14.4,35.51,0.36,Normal
Grid_36,-64.0,26,4,1,100.0,14.4,27.37,0.36,Normal
Grid_36,-68.7,27,4,2,97.82,14.4,37.16,0.36,Normal
Grid_36,-65.3,27,3,2,97.47,14.4,35.54,0.36,Normal
Grid_36,-64.2,29,3,2,100.0,14.4,38.73,0.36,Normal
Grid_36,-62.6,27,3,0,100.0,14.4,37.77,0.36,Normal
Grid_36,-64.5,32,2,1,100.0,14.4,38.54,0.36,Normal
Grid_36,-67.1,23,3,0,99.58,14.4,33.08,0.36,Normal
Grid_36,-67.3,27,3,2,99.77,14.4,37.87,0.36,Normal
Grid_36,-60.7,30,2,2,100.0,14.4,30.84,0.36,Normal
Grid_36,-66.7,26,3,2,98.02,14.4,35.42,0.36,Normal
Grid_36,-68.3,23,3,1,100.0,14.4,32.62,0.36,Normal
Grid_36,-65.9,27,2,0,100.0,14.4,37.55,0.36,Normal
Grid_36,-60.5,31,4,2,92.83,14.4,34.02,0.36,Normal
Grid_36,-64.1,25,3,2,100.0,14.4,37.19,0.36,Normal
Grid_36,-65.4,23,3,1,97.36,14.4,28.39,0.36,Normal
Grid_36,-63.5,25,3,0,87.65,14.4,35.35,0.36,Normal
Grid_36,-61.5,27,3,1,100.0,14.4,27.53,0.36,Normal
Grid_36,-61.6,25,4,1,98.3,14.4,35.42,0.36,Normal
Grid_36,-62.2,30,3,2,100.0,14.4,36.72,0.36,Normal
Grid_36,-64.7,34,4,2,100.0,14.4,32.13,0.36,Normal
Grid_36,-65.6,26,2,1,99.34,14.4,36.9,0.36,Normal
Grid_36,-64.1,24,4,2,99.04,14.4,35.49,0.36,Normal
Grid_36,-66.7,23,4,1,87.32,14.4,36.93,0.36,Normal
Grid_36,-66.0,30,4,0,98.49,14.4,44.51,0.36,Normal
Grid_36,-66.9,25,4,1,95.16,14.4,35.23,0.36,Normal
Grid_36,-66.3,28,3,0,100.0,14.4,35.33,0.36,Normal
Grid_36,-63.0,28,3,0,100.0,14.4,35.89,0.36,Normal
Grid_36,-65.1,32,3,0,100.0,14.4,41.52,0.36,Normal
Grid_36,-64.2,29,3,1,100.0,14.4,35.09,0.36,Normal
Grid_36,-67.7,27,3,0,100.0,14.4,35.88,0.36,Normal
Grid_36,-67.0,25,3,0,95.93,14.4,33.12,0.36,Normal
Grid_36,-64.6,29,2,0,96.69,14.4,38.12,0.36,Normal
Grid_36,-63.1,31,4,1,94.76,14.4,38.48,0.36,Normal
Grid_36,-65.3,29,3,2,99.63,14.4,28.34,0.36,Normal
Grid_36,-63.4,26,4,0,100.0,14.4,31.36,0.36,Normal
Grid_36,-65.2,34,3,1,100.0,14.4,35.68,0.36,Normal
Grid_36,-65.9,31,3,2,91.03,14.4,33.17,0.36,Normal
Grid_36,-65.8,25,3,1,95.22,14.4,29.15,0.36,Normal
Grid_36,-65.5,30,3,1,100.0,14.4,37.58,0.36,Normal
Grid_36,-66.0,29,3,1,100.0,14.4,37.42,0.36,Normal
Grid_36,-62.6,27,4,1,100.0,14.4,32.31,0.36,Normal
Grid_36,-62.7,29,4,1,92.38,14.4,34.52,0.36,Normal
Grid_36,-66.4,27,3,2,99.24,14.4,35.71,0.36,Normal
Grid_36,-66.2,23,4,2,100.0,14.4,32.69,0.36,Normal
Grid_36,-65.8,33,4,2,97.48,14.4,36.4,0.36,Normal
Grid_36,-64.7,32,3,0,100.0,14.4,38.04,0.36,Normal
Grid_36,-65.5,25,3,0,100.0,14.4,39.0,0.36,Normal
Grid_36,-64.4,24,3,0,94.15,14.4,33.92,0.36,Normal
Grid_36,-64.8,25,3,0,100.0,14.4,34.07,0.36,Normal
Grid_36,-63.0,28,3,2,100.0,14.4,31.26,0.36,Normal
Grid_36,-67.2,25,3,0,96.52,14.4,34.29,0.36,Normal
Grid_36,-65.6,32,4,2,100.0,14.4,39.96,0.36,Normal
Grid_36,-66.3,25,4,1,99.36,14.4,29.0,0.36,Normal
Grid_36,-66.5,22,3,2,97.75,14.4,32.92,0.36,Normal
Grid_36,-68.3,25,4,0,95.98,14.4,36.12,0.36,Normal
Grid_36,-66.4,28,4,1,100.0,14.4,37.61,0.36,Normal
Grid_36,-64.6,33,3,0,94.85,14.4,40.22,0.36,Normal
Grid_36,-62.4,27,3,0,99.16,14.4,32.64,0.36,Normal
Grid_36,-62.1,25,4,2,100.0,14.4,37.36,0.36,Normal
Grid_36,-65.0,26,2,2,100.0,14.4,35.0,0.36,Normal
Grid_36,-63.7,32,3,0,100.0,14.4,38.69,0.36,Normal
Grid_36,-64.5,25,3,0,100.0,14.4,32.17,0.36,Normal
Grid_36,-65.2,34,3,0,93.01,14.4,35.21,0.36,Normal
Grid_36,-70.4,26,4,0,100.0,14.4,36.61,0.36,Normal
Grid_36,-64.2,31,3,2,92.69,14.4,34.41,0.36,Normal
Grid_36,-63.5,26,3,2,91.08,14.4,39.56,0.36,Normal
Grid_36,-67.5,28,3,1,93.07,14.4,33.56,0.36,Normal
Grid_36,-63.7,29,3,1,93.46,14.4,35.27,0.36,Normal
Grid_36,-62.8,28,4,2,98.42,14.4,35.73,0.36,Normal
Grid_36,-62.2,29,3,2,94.25,14.4,35.05,0.36,Normal
Grid_36,-63.8,28,3,1,96.85,14.4,34.06,0.36,Normal
Grid_36,-68.5,26,3,1,100.0,14.4,32.18,0.36,Normal
Grid_36,-62.7,27,3,2,96.49,14.4,29.05,0.36,Normal
Grid_36,-68.3,26,4,0,93.43,14.4,30.09,0.36,Normal
Grid_36,-68.1,25,3,2,99.78,14.4,33.09,0.36,Normal
Grid_36,-64.6,29,3,1,100.0,14.4,33.54,0.36,Normal
Grid_36,-62.4,29,2,2,98.22,14.4,36.68,0.36,Normal
Grid_36,-65.8,26,3,0,100.0,14.4,32.15,0.36,Normal
Grid_36,-64.3,29,4,1,94.17,14.4,34.27,0.36,Normal
Grid_36,-67.3,25,3,0,100.0,14.4,41.7,0.36,Normal
Grid_36,-66.8,33,3,0,100.0,14.4,35.34,0.36,Normal
Grid_36,-67.1,33,3,1,95.14,14.4,30.58,0.36,Normal
Grid_36,-67.0,31,3,2,100.0,14.4,35.87,0.36,Normal
Grid_36,-63.1,29,3,2,98.97,14.4,35.54,0.36,Normal
Grid_36,-63.7,22,3,1,84.8,14.4,32.83,0.36,Normal
Grid_36,-64.6,32,3,1,100.0,14.4,30.79,0.36,Normal
Grid_36,-67.0,31,2,1,100.0,14.4,31.82,0.36,Normal
Grid_36,-62.5,26,4,2,99.07,14.4,33.93,0.36,Normal
Grid_36,-65.2,32,3,1,100.0,14.4,32.27,0.36,Normal
Grid_36,-64.7,27,3,2,99.25,14.4,33.39,0.36,Normal
Grid_36,-62.9,25,3,0,93.03,14.4,37.83,0.36,Normal
Grid_36,-62.5,29,3,1,100.0,14.4,40.92,0.36,Normal
Grid_36,-66.1,34,3,2,96.66,14.4,33.22,0.36,Normal
Grid_36,-62.2,24,4,2,98.03,14.4,39.26,0.36,Normal
Grid_36,-69.4,28,4,2,89.11,14.4,30.66,0.36,Normal
