Node_ID,Trust_Direct,Trust_Indirect,Trust_Overall,Malicious_Prob,Path_Selected,PDR,Avg_Delay,Throughput_kbps,Energy_Consumed,Packet_Loss,Anomaly_Score,Label,Attack_Class
N54,0.347,0.537,0.442,0.427,P10->P14->P27,54.4,47.18,15,3.422,33.11,0.175,0,Normal
N33,0.269,0.259,0.264,0.893,P4->P17->P22,97.65,6.06,81,2.796,41.39,0.859,0,Normal
N162,0.412,0.528,0.47,0.826,P9->P20->P29,88.2,27.25,85,2.411,36.3,0.036,0,Normal
N188,0.749,0.944,0.846,0.867,P5->P11->P27,92.93,12.35,72,1.461,46.2,0.2,1,Data Tampering
N74,0.554,0.577,0.566,0.903,P10->P12->P24,82.28,36.76,68,1.091,19.82,0.181,0,Normal
N166,0.846,0.48,0.663,0.048,P7->P20->P22,81.15,49.74,30,4.741,20.04,0.634,0,Normal
N20,0.486,0.479,0.482,0.068,P7->P15->P23,86.86,28.74,96,2.777,54.24,0.121,0,Normal
N19,0.952,0.8,0.876,0.715,P9->P13->P27,63.14,46.86,39,4.242,42.53,0.88,0,Normal
N60,0.322,0.784,0.553,0.388,P2->P16->P27,62.23,10.97,53,0.515,39.48,0.84,0,Normal
N118,0.758,0.449,0.604,0.178,P6->P15->P21,80.83,30.37,55,1.484,28.1,0.58,0,Normal
N133,0.77,0.838,0.804,0.524,P9->P16->P30,51.18,43.97,87,3.863,58.92,0.394,0,Normal
N198,0.329,0.863,0.596,0.166,P8->P16->P25,72.25,16.05,45,2.168,20.68,0.829,0,Normal
N7,0.693,0.902,0.798,0.825,P3->P17->P28,56.52,27.34,30,3.481,38.34,0.822,1,Sybil Attack
N161,0.236,0.422,0.329,0.864,P8->P15->P23,56.25,34.22,74,0.56,37.28,0.001,1,Sybil Attack
N141,0.45,0.54,0.495,0.46,P7->P12->P22,82.78,47.25,42,1.846,13.08,0.186,0,Data Tampering
N164,0.521,0.578,0.55,0.312,P10->P20->P21,95.26,15.88,54,4.021,37.31,0.939,0,Normal
N34,0.642,0.865,0.754,0.736,P3->P14->P25,63.61,33.75,99,2.681,2.48,0.955,1,Data Tampering
N102,0.841,0.78,0.81,0.054,P1->P16->P26,92.73,49.95,41,1.967,25.87,0.912,0,Normal
N20,0.624,0.846,0.735,0.865,P7->P11->P23,70.62,31.27,70,2.527,33.75,0.148,0,Normal
N100,0.639,0.912,0.776,0.866,P5->P20->P23,58.83,19.58,81,1.61,19.23,0.386,1,Packet Drop
N69,0.62,0.22,0.42,0.707,P3->P18->P26,78.12,35.74,34,0.698,58.71,0.411,0,Normal
N9,0.331,0.732,0.532,0.8,P2->P19->P29,92.08,37.69,61,0.792,45.63,0.705,0,Normal
N67,0.43,0.378,0.404,0.297,P5->P13->P26,78.26,16.82,73,1.575,15.62,0.156,0,Normal
N106,0.578,0.709,0.644,0.628,P8->P12->P28,61.56,24.64,20,3.074,15.68,0.388,1,Selective Forwarding
N82,0.876,0.633,0.754,0.49,P6->P17->P25,91.18,45.09,59,1.927,20.13,0.393,0,Normal
N12,0.31,0.774,0.542,0.288,P3->P11->P27,73.5,42.2,64,0.762,14.54,0.85,0,Normal
N3,0.672,0.362,0.517,0.932,P10->P16->P23,55.05,27.44,84,4.42,14.89,0.723,1,Sybil Attack
N21,0.479,0.306,0.392,0.085,P6->P15->P26,98.2,28.02,59,0.628,1.78,0.045,0,Packet Drop
N122,0.296,0.846,0.571,0.68,P7->P20->P24,75.22,35.85,31,0.639,2.01,0.226,1,Data Tampering
N105,0.292,0.504,0.398,0.753,P8->P11->P21,86.62,20.18,36,3.336,8.64,0.378,0,Normal
N47,0.254,0.708,0.481,0.806,P3->P19->P22,96.5,22.54,33,3.496,16.93,0.221,0,Normal
N186,0.649,0.682,0.666,0.728,P1->P15->P29,65.8,10.95,37,2.392,1.86,0.879,0,Normal
N164,0.504,0.517,0.51,0.803,P1->P17->P26,84.46,7.01,29,2.287,53.9,0.755,1,Sybil Attack
N185,0.948,0.815,0.882,0.606,P8->P16->P30,52.51,28.94,11,3.028,6.85,0.416,0,Normal
N135,0.841,0.583,0.712,0.855,P6->P19->P22,67.66,35.01,38,4.985,22.59,0.348,1,Packet Drop
N23,0.938,0.842,0.89,0.213,P10->P13->P22,69.24,37.67,49,2.389,5.77,0.186,0,Normal
N60,0.662,0.943,0.802,0.017,P2->P11->P22,78.09,32.83,37,3.792,42.12,0.828,0,Normal
N107,0.834,0.641,0.738,0.762,P6->P17->P26,73.5,46.84,58,1.763,18.33,0.034,1,Sybil Attack
N175,0.878,0.958,0.918,0.429,P10->P18->P28,75.09,5.49,21,2.431,55.54,0.359,0,Data Tampering
N145,0.909,0.275,0.592,0.121,P7->P20->P27,86.72,11.59,44,4.369,49.82,0.158,0,Normal
N64,0.503,0.937,0.72,0.387,P3->P20->P26,73.17,44.07,36,1.071,21.04,0.088,0,Packet Drop
N190,0.931,0.884,0.908,0.012,P2->P18->P29,64.52,17.53,81,4.861,30.58,0.99,0,Normal
N50,0.511,0.217,0.364,0.362,P6->P14->P30,75.61,47.71,32,0.891,46.51,0.976,0,Normal
N75,0.28,0.28,0.28,0.939,P2->P17->P29,66.62,16.65,75,2.97,44.82,0.902,0,Normal
N146,0.203,0.819,0.511,0.167,P8->P18->P21,69.29,19.0,50,1.22,2.46,0.324,0,Selective Forwarding
N192,0.852,0.225,0.538,0.066,P9->P12->P24,65.99,21.82,89,4.346,30.48,0.211,0,Normal
N107,0.715,0.674,0.694,0.431,P6->P19->P27,88.31,36.52,93,3.288,29.13,0.407,0,Data Tampering
N157,0.212,0.407,0.31,0.84,P2->P17->P27,51.85,13.15,98,4.054,5.77,0.817,0,Normal
N20,0.592,0.313,0.452,0.636,P3->P12->P28,84.97,48.98,70,4.673,24.6,0.271,0,Normal
N99,0.309,0.585,0.447,0.042,P10->P12->P23,54.01,35.55,20,4.168,3.1,0.15,0,Normal
N59,0.843,0.606,0.724,0.013,P9->P20->P30,98.99,12.32,21,4.263,57.92,0.37,0,Normal
N91,0.627,0.883,0.755,0.886,P6->P19->P28,59.14,43.08,52,0.722,53.75,0.122,0,Normal
N157,0.607,0.895,0.751,0.008,P5->P11->P28,50.48,47.34,74,3.674,57.8,0.525,0,Normal
N117,0.477,0.878,0.678,0.174,P9->P18->P25,96.33,23.47,53,4.493,18.01,0.556,0,Normal
N14,0.906,0.936,0.921,0.296,P1->P12->P28,87.74,43.88,72,0.83,7.14,0.332,0,Data Tampering
N45,0.455,0.649,0.552,0.845,P1->P13->P21,95.61,47.56,72,1.058,29.29,0.771,1,Packet Drop
N46,0.202,0.532,0.367,0.952,P3->P19->P28,68.29,37.62,80,1.389,53.41,0.892,0,Normal
N182,0.945,0.25,0.597,0.023,P1->P15->P25,99.18,40.96,60,1.099,36.53,0.747,0,Normal
N122,0.44,0.505,0.473,0.86,P5->P13->P28,55.06,38.58,72,4.209,6.82,0.151,0,Normal
N109,0.708,0.474,0.591,0.599,P3->P20->P22,66.91,13.55,74,3.997,46.11,0.67,0,Normal
N37,0.782,0.433,0.608,0.561,P9->P13->P29,92.47,44.1,21,2.208,58.58,0.977,0,Normal
N37,0.34,0.574,0.457,0.677,P7->P17->P21,81.61,30.85,27,4.814,14.12,0.526,1,Data Tampering
N153,0.825,0.437,0.631,0.298,P2->P15->P24,70.97,28.11,91,4.174,15.64,0.572,0,Normal
N109,0.285,0.763,0.524,0.574,P2->P17->P28,51.52,10.13,77,2.206,53.8,0.894,0,Normal
N173,0.753,0.885,0.819,0.804,P2->P17->P27,76.54,5.86,22,0.623,1.95,0.52,0,Normal
N121,0.858,0.925,0.892,0.373,P10->P18->P28,69.72,11.86,21,0.571,3.82,0.952,0,Packet Drop
N82,0.268,0.479,0.374,0.806,P8->P19->P25,85.14,43.92,42,1.025,3.58,0.239,0,Normal
N34,0.794,0.83,0.812,0.03,P1->P13->P22,55.02,45.69,81,0.679,6.99,0.239,0,Normal
N98,0.285,0.931,0.608,0.341,P6->P12->P29,71.54,7.63,29,2.159,10.4,0.605,0,Normal
N142,0.572,0.925,0.748,0.993,P9->P14->P22,57.55,31.95,95,4.562,37.71,0.912,0,Normal
N34,0.562,0.511,0.536,0.657,P3->P18->P27,55.65,9.08,31,2.289,42.47,0.296,0,Normal
N199,0.717,0.882,0.8,0.86,P8->P18->P25,82.24,41.32,58,4.566,14.11,0.448,0,Normal
N109,0.21,0.397,0.304,0.523,P9->P20->P23,87.66,9.78,25,1.185,23.21,0.999,1,Selective Forwarding
N35,0.223,0.24,0.231,0.08,P9->P19->P24,62.3,37.33,48,0.754,49.38,0.515,0,Normal
N63,0.239,0.448,0.344,0.688,P3->P16->P29,73.34,49.63,71,0.974,2.07,0.2,1,Data Tampering
N9,0.63,0.58,0.605,0.925,P10->P20->P29,60.09,16.68,20,3.935,27.59,0.523,0,Normal
N50,0.929,0.991,0.96,0.982,P6->P16->P29,67.34,6.93,66,3.674,34.49,0.477,0,Normal
N30,0.402,0.662,0.532,0.388,P9->P20->P24,87.37,7.82,66,1.988,51.98,0.948,0,Normal
N136,0.684,0.935,0.81,0.351,P7->P20->P26,62.61,9.0,82,4.895,55.95,0.661,0,Sybil Attack
N11,0.638,0.483,0.56,0.823,P1->P18->P21,50.09,42.65,76,4.482,37.06,0.115,0,Normal
N66,0.587,0.805,0.696,0.015,P7->P14->P27,86.64,28.26,70,2.929,41.92,0.972,0,Normal
N63,0.69,0.761,0.726,0.313,P8->P14->P23,77.04,11.59,48,1.724,21.26,0.533,0,Normal
N145,0.331,0.26,0.296,0.195,P6->P20->P28,53.01,27.18,70,3.098,47.76,0.755,0,Normal
N105,0.538,0.214,0.376,0.619,P5->P11->P23,80.92,13.01,71,3.302,16.13,0.074,0,Normal
N90,0.427,0.373,0.4,0.699,P4->P14->P27,83.08,16.92,11,1.76,5.57,0.557,0,Normal
N119,0.753,0.851,0.802,0.839,P7->P15->P28,95.15,43.32,79,0.981,33.41,0.887,0,Normal
N120,0.385,0.371,0.378,0.991,P9->P19->P26,93.48,18.43,87,4.348,9.88,0.86,1,Packet Drop
N159,0.663,0.861,0.762,0.023,P9->P12->P29,55.26,12.16,22,3.048,41.4,0.755,0,Normal
N199,0.497,0.789,0.643,0.669,P4->P17->P23,57.17,6.03,96,1.152,8.66,0.075,0,Normal
N194,0.603,0.705,0.654,0.946,P9->P15->P27,93.43,16.05,72,1.772,41.17,0.41,1,Data Tampering
N111,0.365,0.476,0.42,0.185,P8->P11->P27,97.65,15.73,59,4.895,11.33,0.983,0,Normal
N176,0.322,0.397,0.36,0.897,P9->P13->P30,64.85,6.94,69,1.682,43.44,0.869,1,Data Tampering
N68,0.672,0.355,0.514,0.835,P9->P16->P24,89.26,38.97,11,3.325,55.48,0.392,1,Packet Drop
N168,0.806,0.881,0.844,0.723,P8->P20->P23,59.18,26.58,74,2.035,19.81,0.08,0,Normal
N23,0.78,0.6,0.69,0.075,P10->P16->P25,60.49,10.29,88,2.044,50.2,0.478,0,Normal
N96,0.959,0.266,0.612,0.415,P10->P14->P23,81.58,44.49,81,1.187,49.75,0.871,0,Normal
N171,0.898,0.735,0.816,0.014,P5->P16->P23,90.53,36.43,83,4.13,31.59,0.926,0,Data Tampering
N158,0.278,0.994,0.636,0.935,P6->P13->P25,90.63,46.02,92,1.717,4.96,0.922,0,Normal
N72,0.577,0.535,0.556,0.375,P5->P15->P28,95.84,15.26,76,2.785,10.64,0.864,0,Normal
N100,0.811,0.203,0.507,0.133,P6->P14->P29,71.15,11.52,60,1.598,43.62,0.747,0,Data Tampering
N27,0.573,0.849,0.711,0.567,P4->P18->P22,97.17,27.1,13,1.513,33.45,0.272,0,Normal
N100,0.833,0.883,0.858,0.978,P6->P19->P26,88.02,23.28,88,3.715,37.41,0.773,0,Normal
N98,0.739,0.335,0.537,0.579,P6->P17->P21,53.12,23.97,75,1.859,18.87,0.211,0,Normal
N57,0.336,0.553,0.444,0.012,P5->P11->P28,92.76,43.22,95,1.648,39.66,0.064,0,Packet Drop
N129,0.921,0.958,0.94,0.959,P1->P15->P21,59.06,47.58,17,4.867,15.4,0.451,0,Normal
N186,0.482,0.599,0.54,0.927,P6->P15->P25,95.44,6.54,54,3.094,58.29,0.558,0,Normal
N78,0.354,0.532,0.443,0.974,P6->P14->P26,68.78,49.1,81,4.896,28.78,0.931,0,Normal
N42,0.62,0.377,0.498,0.066,P6->P20->P28,57.23,45.17,32,1.201,54.5,0.096,0,Normal
N125,0.586,0.296,0.441,0.111,P7->P12->P27,78.14,49.69,75,1.196,29.75,0.665,0,Data Tampering
N107,0.542,0.64,0.591,0.504,P10->P17->P30,74.56,23.62,14,4.542,16.23,0.222,1,Sybil Attack
N73,0.374,0.715,0.544,0.071,P3->P18->P28,93.44,22.84,94,1.951,17.0,0.204,0,Normal
N125,0.777,0.601,0.689,0.231,P5->P14->P27,65.74,31.65,26,2.386,30.06,0.262,0,Sybil Attack
N130,0.899,0.513,0.706,0.943,P6->P20->P28,67.03,29.84,31,1.881,36.65,0.797,1,Data Tampering
N6,0.607,0.753,0.68,0.29,P9->P16->P24,99.94,37.36,83,2.301,21.46,0.022,0,Normal
N134,0.798,0.68,0.739,0.856,P8->P16->P27,61.65,38.01,53,2.136,1.73,0.926,0,Normal
N27,0.929,0.631,0.78,0.457,P8->P16->P25,91.06,49.81,39,1.251,8.91,0.891,0,Normal
N141,0.425,0.31,0.368,0.219,P7->P12->P23,87.69,43.88,27,1.036,10.39,0.666,0,Packet Drop
N4,0.239,0.909,0.574,0.292,P3->P15->P26,99.09,29.12,76,4.083,2.83,0.612,0,Data Tampering
N54,0.576,0.77,0.673,0.26,P8->P14->P28,97.51,21.36,37,0.76,1.22,0.281,0,Selective Forwarding
N19,0.958,0.3,0.629,0.376,P8->P20->P27,75.22,33.73,45,0.812,31.96,0.827,0,Sybil Attack
N176,0.845,0.612,0.728,0.165,P3->P13->P24,54.48,11.3,43,3.39,24.16,0.3,0,Normal
N155,0.637,0.744,0.69,0.885,P1->P20->P23,62.48,30.71,12,2.725,52.77,0.075,0,Normal
N74,0.664,0.538,0.601,0.43,P3->P13->P27,56.63,9.49,58,3.15,55.46,0.871,0,Normal
N157,0.782,0.231,0.507,0.676,P1->P14->P24,51.32,8.2,36,2.397,52.93,0.793,1,Packet Drop
N17,0.44,0.96,0.7,0.964,P9->P11->P24,70.42,11.16,24,1.116,34.2,0.799,0,Normal
N27,0.435,0.527,0.481,0.345,P3->P17->P21,97.07,7.91,80,4.99,22.2,0.592,0,Normal
N94,0.706,0.697,0.702,0.319,P8->P14->P22,87.78,32.98,15,1.965,37.79,0.824,0,Normal
N130,0.56,0.532,0.546,0.538,P6->P13->P25,94.0,24.37,23,0.953,30.06,0.293,0,Normal
N167,0.247,0.938,0.592,0.083,P1->P12->P30,66.89,32.55,68,1.041,43.23,0.486,0,Normal
N5,0.669,0.325,0.497,0.786,P6->P17->P25,63.1,44.99,62,4.498,45.39,0.372,0,Normal
N97,0.896,0.707,0.802,0.475,P2->P15->P26,84.89,27.22,97,2.769,9.81,0.536,0,Normal
N86,0.258,0.342,0.3,0.449,P2->P20->P29,98.21,9.03,44,1.578,50.54,0.405,0,Packet Drop
N82,0.354,0.772,0.563,0.523,P6->P19->P25,78.38,28.43,14,1.07,10.69,0.948,0,Normal
N109,0.687,0.255,0.471,0.103,P2->P12->P27,94.04,30.38,31,1.674,30.45,0.976,0,Sybil Attack
N75,0.875,0.465,0.67,0.499,P7->P17->P30,77.68,46.03,88,3.112,24.77,0.791,0,Normal
N175,0.928,0.328,0.628,0.566,P8->P20->P26,95.44,42.21,40,3.658,40.83,0.259,0,Normal
N82,0.225,0.666,0.446,0.708,P10->P13->P25,93.52,32.96,98,3.776,43.84,0.305,0,Normal
N69,0.352,0.509,0.43,0.719,P3->P19->P22,95.2,26.11,76,4.841,25.27,0.771,0,Normal
N92,0.618,0.469,0.544,0.745,P9->P13->P25,88.46,33.34,90,0.648,51.59,0.414,0,Normal
N167,0.385,0.208,0.296,0.659,P5->P17->P26,60.19,44.69,40,1.963,27.32,0.388,0,Normal
N64,0.237,0.795,0.516,0.875,P9->P17->P24,81.94,40.25,70,3.343,15.81,0.218,1,Packet Drop
N184,0.361,0.917,0.639,0.834,P8->P17->P28,87.03,9.88,76,3.54,31.41,0.222,0,Normal
N6,0.809,0.984,0.897,0.774,P8->P17->P30,56.13,13.61,65,4.198,46.65,0.907,0,Normal
N74,0.352,0.722,0.537,0.603,P10->P15->P26,59.09,31.75,39,1.868,56.93,0.497,0,Normal
N135,0.418,0.503,0.46,0.016,P7->P14->P23,94.65,17.48,38,1.312,48.89,0.872,0,Sybil Attack
N39,0.408,0.393,0.4,0.039,P10->P20->P25,62.47,40.95,71,0.609,37.55,0.493,0,Normal
N23,0.405,0.793,0.599,0.722,P6->P20->P25,61.26,15.96,57,2.503,15.33,0.818,0,Normal
N119,0.657,0.311,0.484,0.565,P9->P17->P22,69.35,14.67,92,1.817,36.8,0.442,0,Normal
N88,0.37,0.691,0.53,0.914,P5->P18->P29,53.2,27.66,70,3.268,21.82,0.2,0,Normal
N99,0.621,0.571,0.596,0.564,P8->P14->P26,74.98,14.13,81,2.406,28.78,0.535,0,Normal
N110,0.532,0.63,0.581,0.311,P8->P19->P26,62.04,10.48,16,3.702,45.14,0.574,0,Sybil Attack
N86,0.926,0.999,0.962,0.776,P8->P16->P28,91.16,34.9,42,2.316,35.41,0.651,1,Data Tampering
N134,0.491,0.751,0.621,0.016,P9->P16->P22,89.65,45.36,57,4.1,43.17,0.094,0,Normal
N132,0.605,0.396,0.5,0.468,P10->P19->P29,52.59,36.69,58,1.192,37.18,0.482,0,Normal
N199,0.889,0.643,0.766,0.0,P5->P13->P23,93.22,42.22,28,2.602,24.63,0.177,0,Normal
N102,0.427,0.65,0.538,0.717,P1->P16->P25,81.48,26.59,17,4.531,58.74,0.083,0,Normal
N71,0.86,0.279,0.57,0.832,P4->P18->P21,72.76,37.55,29,2.085,54.9,0.494,0,Normal
N68,0.792,0.55,0.671,0.633,P4->P11->P29,54.4,14.75,99,0.999,39.62,0.527,1,Data Tampering
N92,0.807,0.576,0.692,0.836,P10->P16->P25,93.07,16.89,71,4.544,10.21,0.981,0,Normal
N37,0.618,0.63,0.624,0.225,P9->P18->P26,90.02,20.21,53,1.78,56.31,0.013,0,Normal
N104,0.891,0.546,0.718,0.919,P4->P20->P24,74.97,31.27,67,2.726,48.93,0.657,0,Normal
N52,0.525,0.547,0.536,0.762,P5->P16->P30,54.14,39.87,61,0.973,19.9,0.469,1,Sybil Attack
N28,0.972,0.316,0.644,0.107,P10->P20->P27,72.6,29.88,82,2.082,31.62,0.229,0,Normal
N159,0.454,0.61,0.532,0.259,P8->P14->P28,89.84,40.39,80,3.942,47.48,0.635,0,Data Tampering
N59,0.306,0.29,0.298,0.87,P9->P12->P28,95.6,9.9,63,3.084,18.03,0.689,0,Normal
N89,0.572,0.203,0.387,0.184,P4->P11->P26,67.78,21.39,60,3.667,7.12,0.243,0,Packet Drop
N200,0.329,0.385,0.357,0.995,P6->P13->P21,73.94,18.36,92,0.801,52.42,0.362,0,Normal
N49,0.852,0.56,0.706,0.867,P8->P12->P24,73.14,19.04,19,2.777,41.46,0.293,0,Normal
N62,0.889,0.374,0.632,0.167,P4->P14->P28,54.88,45.36,64,2.517,47.73,0.686,0,Packet Drop
N162,0.526,0.564,0.545,0.614,P2->P15->P24,63.36,17.71,76,4.394,56.13,0.968,1,Sybil Attack
N16,0.237,0.203,0.22,0.037,P2->P13->P27,51.56,29.36,40,2.584,35.33,0.542,0,Normal
N146,0.255,0.482,0.368,0.632,P7->P18->P23,57.28,26.79,21,2.039,7.09,0.337,1,Sybil Attack
N147,0.565,0.504,0.534,0.943,P10->P13->P28,99.84,35.55,40,3.539,22.28,0.62,0,Normal
N164,0.833,0.522,0.678,0.74,P9->P12->P26,70.47,32.66,55,3.986,49.78,0.938,0,Normal
N42,0.554,0.934,0.744,0.409,P5->P20->P27,68.42,26.72,67,4.049,46.54,0.554,0,Normal
N104,0.29,0.717,0.503,0.266,P1->P16->P26,88.01,11.35,74,4.625,54.26,0.526,0,Normal
