Node_ID,Trust_Direct,Trust_Indirect,Trust_Overall,Attack_Type,Malicious_Prob,Trans_Rate,PDR (%),Delay (ms),Energy (mJ),Path_Selected,Packet_Loss (%),Anomaly_Score,Label
N146,0.769,0.397,0.583,Normal,0.388,34,85.25,49.09,1.508,P6->P18->P23,9.87,0.453,0
N75,0.429,0.943,0.686,Selective Forwarding,0.728,43,94.08,38.99,3.902,P6->P11->P27,26.41,0.547,1
N87,0.275,0.931,0.603,Normal,0.365,37,89.63,28.22,3.163,P1->P14->P29,19.79,0.491,0
N195,0.907,0.274,0.59,Normal,0.205,31,72.79,43.78,4.695,P8->P13->P24,43.28,0.583,0
N120,0.337,0.455,0.396,Packet Drop,0.653,28,87.49,28.7,1.503,P8->P12->P25,58.67,0.713,1
N68,0.287,0.812,0.55,Normal,0.154,93,62.78,15.48,3.419,P7->P11->P27,26.21,0.252,0
N159,0.273,0.803,0.538,Normal,0.759,16,71.1,37.48,4.479,P4->P12->P24,10.1,0.854,0
N13,0.68,0.268,0.474,Normal,0.258,93,98.86,25.58,3.491,P10->P16->P26,44.99,0.866,0
N37,0.72,0.202,0.461,Normal,0.109,40,77.04,45.83,3.246,P5->P13->P24,53.86,0.093,0
N22,0.405,0.964,0.684,Packet Drop,0.86,53,88.02,44.31,2.919,P6->P18->P22,42.77,0.282,1
N121,0.322,0.548,0.435,Normal,0.09,16,67.89,21.68,1.395,P8->P20->P24,41.37,0.004,0
N51,0.765,0.538,0.652,Normal,0.208,97,67.72,26.38,2.578,P3->P18->P25,49.6,0.908,0
N151,0.343,0.229,0.286,Normal,0.515,65,65.18,37.13,2.94,P1->P15->P23,16.54,0.524,0
N173,0.663,0.77,0.716,Normal,0.523,59,83.23,23.33,2.668,P3->P16->P28,36.71,0.121,0
N139,0.478,0.606,0.542,Sybil Attack,0.873,24,64.49,24.25,4.656,P8->P19->P21,44.85,0.267,1
N177,0.287,0.674,0.481,Data Tampering,0.644,21,83.05,17.24,0.583,P8->P17->P23,21.22,0.504,1
N175,0.576,0.341,0.458,Selective Forwarding,0.161,67,84.72,23.18,1.649,P8->P18->P30,52.55,0.955,0
N148,0.332,0.217,0.274,Packet Drop,0.847,32,76.14,37.28,2.58,P4->P19->P28,24.48,0.71,1
N68,0.251,0.617,0.434,Normal,0.562,56,50.98,14.6,2.742,P4->P18->P24,22.39,0.321,0
N145,0.916,0.439,0.678,Normal,0.142,27,99.46,7.58,1.355,P2->P16->P24,58.68,0.917,0
N92,0.279,0.769,0.524,Normal,0.3,28,52.62,29.91,2.821,P9->P13->P26,14.58,0.449,0
N85,0.999,0.568,0.784,Normal,0.382,82,80.13,41.38,3.226,P10->P18->P24,52.98,0.114,0
N13,0.863,0.865,0.864,Normal,0.075,84,75.01,38.71,2.402,P5->P20->P27,59.51,0.662,0
N183,0.676,0.962,0.819,Normal,0.52,81,74.58,9.37,4.671,P2->P17->P24,34.88,0.06,0
N176,0.664,0.877,0.77,Normal,0.398,65,88.75,24.75,3.919,P7->P15->P25,35.76,0.724,0
N41,0.68,0.333,0.507,Normal,0.48,49,70.31,46.72,1.069,P7->P18->P30,23.85,0.664,0
N103,0.39,0.62,0.505,Normal,0.75,56,51.0,10.85,0.92,P7->P13->P21,40.63,0.349,0
N24,0.917,0.519,0.718,Data Tampering,0.863,41,65.83,10.01,3.073,P8->P11->P25,2.39,0.126,1
N118,0.509,0.282,0.395,Normal,0.926,75,51.34,42.4,1.376,P10->P18->P30,42.79,0.582,0
N53,0.529,0.987,0.758,Normal,0.868,76,90.58,28.23,3.495,P7->P19->P24,7.64,0.431,0
N46,0.206,0.992,0.599,Normal,0.126,40,54.48,9.12,1.473,P3->P17->P22,49.18,0.748,0
N135,0.936,0.233,0.584,Normal,0.598,11,75.02,17.8,3.351,P4->P11->P23,31.44,0.17,0
N150,0.551,0.215,0.383,Sybil Attack,0.091,34,94.95,22.88,0.998,P10->P16->P29,40.73,0.317,0
N137,0.889,0.397,0.643,Normal,0.776,19,63.05,22.78,2.854,P6->P13->P27,40.25,0.61,0
N51,0.29,0.758,0.524,Normal,0.334,81,70.85,10.07,0.627,P3->P13->P30,56.69,0.422,0
N81,0.575,0.65,0.612,Sybil Attack,0.586,88,88.15,24.51,1.212,P7->P17->P29,12.5,0.884,1
N75,0.624,0.628,0.626,Normal,0.004,83,84.5,33.22,3.147,P3->P13->P29,28.41,0.35,0
N68,0.493,0.258,0.376,Normal,0.347,92,72.71,45.01,2.289,P7->P20->P28,1.39,0.615,0
N142,0.456,0.444,0.45,Normal,0.915,67,56.75,48.05,1.006,P3->P11->P27,42.21,0.63,0
N18,0.854,0.647,0.75,Normal,0.778,87,80.39,11.09,2.379,P3->P11->P27,50.23,0.072,0
N27,0.233,0.293,0.263,Normal,0.583,39,64.7,22.6,0.834,P7->P17->P22,56.0,0.988,0
N110,0.521,0.458,0.49,Packet Drop,0.884,11,86.77,15.25,3.578,P10->P19->P22,42.24,0.056,1
N5,0.583,0.564,0.573,Normal,0.89,21,94.53,28.2,4.649,P10->P18->P28,28.45,0.542,0
N34,0.602,0.668,0.635,Normal,0.323,31,84.62,39.74,3.714,P1->P16->P23,43.54,0.009,0
N19,0.606,0.453,0.53,Sybil Attack,0.952,71,80.74,35.73,1.759,P3->P11->P22,25.38,0.754,1
N99,0.703,0.989,0.846,Packet Drop,0.988,59,97.52,27.99,1.815,P6->P19->P29,21.24,0.352,1
N83,0.32,0.655,0.488,Normal,0.475,53,83.74,13.39,4.966,P3->P17->P28,34.58,0.327,0
N54,0.347,0.537,0.442,Normal,0.427,15,54.4,47.18,3.422,P10->P14->P27,33.11,0.175,0
N33,0.269,0.259,0.264,Normal,0.893,81,97.65,6.06,2.796,P4->P17->P22,41.39,0.859,0
N162,0.412,0.528,0.47,Normal,0.826,85,88.2,27.25,2.411,P9->P20->P29,36.3,0.036,0
N188,0.749,0.944,0.846,Data Tampering,0.867,72,92.93,12.35,1.461,P5->P11->P27,46.2,0.2,1
N74,0.554,0.577,0.566,Normal,0.903,68,82.28,36.76,1.091,P10->P12->P24,19.82,0.181,0
N166,0.846,0.48,0.663,Normal,0.048,30,81.15,49.74,4.741,P7->P20->P22,20.04,0.634,0
N20,0.486,0.479,0.482,Normal,0.068,96,86.86,28.74,2.777,P7->P15->P23,54.24,0.121,0
N19,0.952,0.8,0.876,Normal,0.715,39,63.14,46.86,4.242,P9->P13->P27,42.53,0.88,0
N60,0.322,0.784,0.553,Normal,0.388,53,62.23,10.97,0.515,P2->P16->P27,39.48,0.84,0
N118,0.758,0.449,0.604,Normal,0.178,55,80.83,30.37,1.484,P6->P15->P21,28.1,0.58,0
N133,0.77,0.838,0.804,Normal,0.524,87,51.18,43.97,3.863,P9->P16->P30,58.92,0.394,0
N198,0.329,0.863,0.596,Normal,0.166,45,72.25,16.05,2.168,P8->P16->P25,20.68,0.829,0
N7,0.693,0.902,0.798,Sybil Attack,0.825,30,56.52,27.34,3.481,P3->P17->P28,38.34,0.822,1
N161,0.236,0.422,0.329,Sybil Attack,0.864,74,56.25,34.22,0.56,P8->P15->P23,37.28,0.001,1
N141,0.45,0.54,0.495,Data Tampering,0.46,42,82.78,47.25,1.846,P7->P12->P22,13.08,0.186,0
N164,0.521,0.578,0.55,Normal,0.312,54,95.26,15.88,4.021,P10->P20->P21,37.31,0.939,0
N34,0.642,0.865,0.754,Data Tampering,0.736,99,63.61,33.75,2.681,P3->P14->P25,2.48,0.955,1
N102,0.841,0.78,0.81,Normal,0.054,41,92.73,49.95,1.967,P1->P16->P26,25.87,0.912,0
N20,0.624,0.846,0.735,Normal,0.865,70,70.62,31.27,2.527,P7->P11->P23,33.75,0.148,0
N100,0.639,0.912,0.776,Packet Drop,0.866,81,58.83,19.58,1.61,P5->P20->P23,19.23,0.386,1
N69,0.62,0.22,0.42,Normal,0.707,34,78.12,35.74,0.698,P3->P18->P26,58.71,0.411,0
N9,0.331,0.732,0.532,Normal,0.8,61,92.08,37.69,0.792,P2->P19->P29,45.63,0.705,0
N67,0.43,0.378,0.404,Normal,0.297,73,78.26,16.82,1.575,P5->P13->P26,15.62,0.156,0
N106,0.578,0.709,0.644,Selective Forwarding,0.628,20,61.56,24.64,3.074,P8->P12->P28,15.68,0.388,1
N82,0.876,0.633,0.754,Normal,0.49,59,91.18,45.09,1.927,P6->P17->P25,20.13,0.393,0
N12,0.31,0.774,0.542,Normal,0.288,64,73.5,42.2,0.762,P3->P11->P27,14.54,0.85,0
N3,0.672,0.362,0.517,Sybil Attack,0.932,84,55.05,27.44,4.42,P10->P16->P23,14.89,0.723,1
N21,0.479,0.306,0.392,Packet Drop,0.085,59,98.2,28.02,0.628,P6->P15->P26,1.78,0.045,0
N122,0.296,0.846,0.571,Data Tampering,0.68,31,75.22,35.85,0.639,P7->P20->P24,2.01,0.226,1
N105,0.292,0.504,0.398,Normal,0.753,36,86.62,20.18,3.336,P8->P11->P21,8.64,0.378,0
N47,0.254,0.708,0.481,Normal,0.806,33,96.5,22.54,3.496,P3->P19->P22,16.93,0.221,0
N186,0.649,0.682,0.666,Normal,0.728,37,65.8,10.95,2.392,P1->P15->P29,1.86,0.879,0
N164,0.504,0.517,0.51,Sybil Attack,0.803,29,84.46,7.01,2.287,P1->P17->P26,53.9,0.755,1
N185,0.948,0.815,0.882,Normal,0.606,11,52.51,28.94,3.028,P8->P16->P30,6.85,0.416,0
N135,0.841,0.583,0.712,Packet Drop,0.855,38,67.66,35.01,4.985,P6->P19->P22,22.59,0.348,1
N23,0.938,0.842,0.89,Normal,0.213,49,69.24,37.67,2.389,P10->P13->P22,5.77,0.186,0
N60,0.662,0.943,0.802,Normal,0.017,37,78.09,32.83,3.792,P2->P11->P22,42.12,0.828,0
N107,0.834,0.641,0.738,Sybil Attack,0.762,58,73.5,46.84,1.763,P6->P17->P26,18.33,0.034,1
N175,0.878,0.958,0.918,Data Tampering,0.429,21,75.09,5.49,2.431,P10->P18->P28,55.54,0.359,0
N145,0.909,0.275,0.592,Normal,0.121,44,86.72,11.59,4.369,P7->P20->P27,49.82,0.158,0
N64,0.503,0.937,0.72,Packet Drop,0.387,36,73.17,44.07,1.071,P3->P20->P26,21.04,0.088,0
N190,0.931,0.884,0.908,Normal,0.012,81,64.52,17.53,4.861,P2->P18->P29,30.58,0.99,0
N50,0.511,0.217,0.364,Normal,0.362,32,75.61,47.71,0.891,P6->P14->P30,46.51,0.976,0
N75,0.28,0.28,0.28,Normal,0.939,75,66.62,16.65,2.97,P2->P17->P29,44.82,0.902,0
N146,0.203,0.819,0.511,Selective Forwarding,0.167,50,69.29,19.0,1.22,P8->P18->P21,2.46,0.324,0
N192,0.852,0.225,0.538,Normal,0.066,89,65.99,21.82,4.346,P9->P12->P24,30.48,0.211,0
N107,0.715,0.674,0.694,Data Tampering,0.431,93,88.31,36.52,3.288,P6->P19->P27,29.13,0.407,0
N157,0.212,0.407,0.31,Normal,0.84,98,51.85,13.15,4.054,P2->P17->P27,5.77,0.817,0
N20,0.592,0.313,0.452,Normal,0.636,70,84.97,48.98,4.673,P3->P12->P28,24.6,0.271,0
N99,0.309,0.585,0.447,Normal,0.042,20,54.01,35.55,4.168,P10->P12->P23,3.1,0.15,0
N59,0.843,0.606,0.724,Normal,0.013,21,98.99,12.32,4.263,P9->P20->P30,57.92,0.37,0
N91,0.627,0.883,0.755,Normal,0.886,52,59.14,43.08,0.722,P6->P19->P28,53.75,0.122,0
N157,0.607,0.895,0.751,Normal,0.008,74,50.48,47.34,3.674,P5->P11->P28,57.8,0.525,0
N117,0.477,0.878,0.678,Normal,0.174,53,96.33,23.47,4.493,P9->P18->P25,18.01,0.556,0
N14,0.906,0.936,0.921,Data Tampering,0.296,72,87.74,43.88,0.83,P1->P12->P28,7.14,0.332,0
N45,0.455,0.649,0.552,Packet Drop,0.845,72,95.61,47.56,1.058,P1->P13->P21,29.29,0.771,1
N46,0.202,0.532,0.367,Normal,0.952,80,68.29,37.62,1.389,P3->P19->P28,53.41,0.892,0
N182,0.945,0.25,0.597,Normal,0.023,60,99.18,40.96,1.099,P1->P15->P25,36.53,0.747,0
N122,0.44,0.505,0.473,Normal,0.86,72,55.06,38.58,4.209,P5->P13->P28,6.82,0.151,0
N109,0.708,0.474,0.591,Normal,0.599,74,66.91,13.55,3.997,P3->P20->P22,46.11,0.67,0
N37,0.782,0.433,0.608,Normal,0.561,21,92.47,44.1,2.208,P9->P13->P29,58.58,0.977,0
N37,0.34,0.574,0.457,Data Tampering,0.677,27,81.61,30.85,4.814,P7->P17->P21,14.12,0.526,1
N153,0.825,0.437,0.631,Normal,0.298,91,70.97,28.11,4.174,P2->P15->P24,15.64,0.572,0
N109,0.285,0.763,0.524,Normal,0.574,77,51.52,10.13,2.206,P2->P17->P28,53.8,0.894,0
N173,0.753,0.885,0.819,Normal,0.804,22,76.54,5.86,0.623,P2->P17->P27,1.95,0.52,0
N121,0.858,0.925,0.892,Packet Drop,0.373,21,69.72,11.86,0.571,P10->P18->P28,3.82,0.952,0
N82,0.268,0.479,0.374,Normal,0.806,42,85.14,43.92,1.025,P8->P19->P25,3.58,0.239,0
N34,0.794,0.83,0.812,Normal,0.03,81,55.02,45.69,0.679,P1->P13->P22,6.99,0.239,0
N98,0.285,0.931,0.608,Normal,0.341,29,71.54,7.63,2.159,P6->P12->P29,10.4,0.605,0
N142,0.572,0.925,0.748,Normal,0.993,95,57.55,31.95,4.562,P9->P14->P22,37.71,0.912,0
N34,0.562,0.511,0.536,Normal,0.657,31,55.65,9.08,2.289,P3->P18->P27,42.47,0.296,0
N199,0.717,0.882,0.8,Normal,0.86,58,82.24,41.32,4.566,P8->P18->P25,14.11,0.448,0
N109,0.21,0.397,0.304,Selective Forwarding,0.523,25,87.66,9.78,1.185,P9->P20->P23,23.21,0.999,1
N35,0.223,0.24,0.231,Normal,0.08,48,62.3,37.33,0.754,P9->P19->P24,49.38,0.515,0
N63,0.239,0.448,0.344,Data Tampering,0.688,71,73.34,49.63,0.974,P3->P16->P29,2.07,0.2,1
N9,0.63,0.58,0.605,Normal,0.925,20,60.09,16.68,3.935,P10->P20->P29,27.59,0.523,0
N50,0.929,0.991,0.96,Normal,0.982,66,67.34,6.93,3.674,P6->P16->P29,34.49,0.477,0
N30,0.402,0.662,0.532,Normal,0.388,66,87.37,7.82,1.988,P9->P20->P24,51.98,0.948,0
N136,0.684,0.935,0.81,Sybil Attack,0.351,82,62.61,9.0,4.895,P7->P20->P26,55.95,0.661,0
N11,0.638,0.483,0.56,Normal,0.823,76,50.09,42.65,4.482,P1->P18->P21,37.06,0.115,0
N66,0.587,0.805,0.696,Normal,0.015,70,86.64,28.26,2.929,P7->P14->P27,41.92,0.972,0
N63,0.69,0.761,0.726,Normal,0.313,48,77.04,11.59,1.724,P8->P14->P23,21.26,0.533,0
N145,0.331,0.26,0.296,Normal,0.195,70,53.01,27.18,3.098,P6->P20->P28,47.76,0.755,0
N105,0.538,0.214,0.376,Normal,0.619,71,80.92,13.01,3.302,P5->P11->P23,16.13,0.074,0
N90,0.427,0.373,0.4,Normal,0.699,11,83.08,16.92,1.76,P4->P14->P27,5.57,0.557,0
N119,0.753,0.851,0.802,Normal,0.839,79,95.15,43.32,0.981,P7->P15->P28,33.41,0.887,0
N120,0.385,0.371,0.378,Packet Drop,0.991,87,93.48,18.43,4.348,P9->P19->P26,9.88,0.86,1
N159,0.663,0.861,0.762,Normal,0.023,22,55.26,12.16,3.048,P9->P12->P29,41.4,0.755,0
N199,0.497,0.789,0.643,Normal,0.669,96,57.17,6.03,1.152,P4->P17->P23,8.66,0.075,0
N194,0.603,0.705,0.654,Data Tampering,0.946,72,93.43,16.05,1.772,P9->P15->P27,41.17,0.41,1
N111,0.365,0.476,0.42,Normal,0.185,59,97.65,15.73,4.895,P8->P11->P27,11.33,0.983,0
N176,0.322,0.397,0.36,Data Tampering,0.897,69,64.85,6.94,1.682,P9->P13->P30,43.44,0.869,1
N68,0.672,0.355,0.514,Packet Drop,0.835,11,89.26,38.97,3.325,P9->P16->P24,55.48,0.392,1
N168,0.806,0.881,0.844,Normal,0.723,74,59.18,26.58,2.035,P8->P20->P23,19.81,0.08,0
N23,0.78,0.6,0.69,Normal,0.075,88,60.49,10.29,2.044,P10->P16->P25,50.2,0.478,0
N96,0.959,0.266,0.612,Normal,0.415,81,81.58,44.49,1.187,P10->P14->P23,49.75,0.871,0
N171,0.898,0.735,0.816,Data Tampering,0.014,83,90.53,36.43,4.13,P5->P16->P23,31.59,0.926,0
N158,0.278,0.994,0.636,Normal,0.935,92,90.63,46.02,1.717,P6->P13->P25,4.96,0.922,0
N72,0.577,0.535,0.556,Normal,0.375,76,95.84,15.26,2.785,P5->P15->P28,10.64,0.864,0
N100,0.811,0.203,0.507,Data Tampering,0.133,60,71.15,11.52,1.598,P6->P14->P29,43.62,0.747,0
N27,0.573,0.849,0.711,Normal,0.567,13,97.17,27.1,1.513,P4->P18->P22,33.45,0.272,0
N100,0.833,0.883,0.858,Normal,0.978,88,88.02,23.28,3.715,P6->P19->P26,37.41,0.773,0
N98,0.739,0.335,0.537,Normal,0.579,75,53.12,23.97,1.859,P6->P17->P21,18.87,0.211,0
N57,0.336,0.553,0.444,Packet Drop,0.012,95,92.76,43.22,1.648,P5->P11->P28,39.66,0.064,0
N129,0.921,0.958,0.94,Normal,0.959,17,59.06,47.58,4.867,P1->P15->P21,15.4,0.451,0
N186,0.482,0.599,0.54,Normal,0.927,54,95.44,6.54,3.094,P6->P15->P25,58.29,0.558,0
N78,0.354,0.532,0.443,Normal,0.974,81,68.78,49.1,4.896,P6->P14->P26,28.78,0.931,0
N42,0.62,0.377,0.498,Normal,0.066,32,57.23,45.17,1.201,P6->P20->P28,54.5,0.096,0
N125,0.586,0.296,0.441,Data Tampering,0.111,75,78.14,49.69,1.196,P7->P12->P27,29.75,0.665,0
N107,0.542,0.64,0.591,Sybil Attack,0.504,14,74.56,23.62,4.542,P10->P17->P30,16.23,0.222,1
N73,0.374,0.715,0.544,Normal,0.071,94,93.44,22.84,1.951,P3->P18->P28,17.0,0.204,0
N125,0.777,0.601,0.689,Sybil Attack,0.231,26,65.74,31.65,2.386,P5->P14->P27,30.06,0.262,0
N130,0.899,0.513,0.706,Data Tampering,0.943,31,67.03,29.84,1.881,P6->P20->P28,36.65,0.797,1
N6,0.607,0.753,0.68,Normal,0.29,83,99.94,37.36,2.301,P9->P16->P24,21.46,0.022,0
N134,0.798,0.68,0.739,Normal,0.856,53,61.65,38.01,2.136,P8->P16->P27,1.73,0.926,0
N27,0.929,0.631,0.78,Normal,0.457,39,91.06,49.81,1.251,P8->P16->P25,8.91,0.891,0
N141,0.425,0.31,0.368,Packet Drop,0.219,27,87.69,43.88,1.036,P7->P12->P23,10.39,0.666,0
N4,0.239,0.909,0.574,Data Tampering,0.292,76,99.09,29.12,4.083,P3->P15->P26,2.83,0.612,0
N54,0.576,0.77,0.673,Selective Forwarding,0.26,37,97.51,21.36,0.76,P8->P14->P28,1.22,0.281,0
N19,0.958,0.3,0.629,Sybil Attack,0.376,45,75.22,33.73,0.812,P8->P20->P27,31.96,0.827,0
N176,0.845,0.612,0.728,Normal,0.165,43,54.48,11.3,3.39,P3->P13->P24,24.16,0.3,0
N155,0.637,0.744,0.69,Normal,0.885,12,62.48,30.71,2.725,P1->P20->P23,52.77,0.075,0
N74,0.664,0.538,0.601,Normal,0.43,58,56.63,9.49,3.15,P3->P13->P27,55.46,0.871,0
N157,0.782,0.231,0.507,Packet Drop,0.676,36,51.32,8.2,2.397,P1->P14->P24,52.93,0.793,1
N17,0.44,0.96,0.7,Normal,0.964,24,70.42,11.16,1.116,P9->P11->P24,34.2,0.799,0
N27,0.435,0.527,0.481,Normal,0.345,80,97.07,7.91,4.99,P3->P17->P21,22.2,0.592,0
N94,0.706,0.697,0.702,Normal,0.319,15,87.78,32.98,1.965,P8->P14->P22,37.79,0.824,0
N130,0.56,0.532,0.546,Normal,0.538,23,94.0,24.37,0.953,P6->P13->P25,30.06,0.293,0
N167,0.247,0.938,0.592,Normal,0.083,68,66.89,32.55,1.041,P1->P12->P30,43.23,0.486,0
N5,0.669,0.325,0.497,Normal,0.786,62,63.1,44.99,4.498,P6->P17->P25,45.39,0.372,0
N97,0.896,0.707,0.802,Normal,0.475,97,84.89,27.22,2.769,P2->P15->P26,9.81,0.536,0
N86,0.258,0.342,0.3,Packet Drop,0.449,44,98.21,9.03,1.578,P2->P20->P29,50.54,0.405,0
N82,0.354,0.772,0.563,Normal,0.523,14,78.38,28.43,1.07,P6->P19->P25,10.69,0.948,0
N109,0.687,0.255,0.471,Sybil Attack,0.103,31,94.04,30.38,1.674,P2->P12->P27,30.45,0.976,0
N75,0.875,0.465,0.67,Normal,0.499,88,77.68,46.03,3.112,P7->P17->P30,24.77,0.791,0
N175,0.928,0.328,0.628,Normal,0.566,40,95.44,42.21,3.658,P8->P20->P26,40.83,0.259,0
N82,0.225,0.666,0.446,Normal,0.708,98,93.52,32.96,3.776,P10->P13->P25,43.84,0.305,0
N69,0.352,0.509,0.43,Normal,0.719,76,95.2,26.11,4.841,P3->P19->P22,25.27,0.771,0
N92,0.618,0.469,0.544,Normal,0.745,90,88.46,33.34,0.648,P9->P13->P25,51.59,0.414,0
N167,0.385,0.208,0.296,Normal,0.659,40,60.19,44.69,1.963,P5->P17->P26,27.32,0.388,0
N64,0.237,0.795,0.516,Packet Drop,0.875,70,81.94,40.25,3.343,P9->P17->P24,15.81,0.218,1
N184,0.361,0.917,0.639,Normal,0.834,76,87.03,9.88,3.54,P8->P17->P28,31.41,0.222,0
N6,0.809,0.984,0.897,Normal,0.774,65,56.13,13.61,4.198,P8->P17->P30,46.65,0.907,0
N74,0.352,0.722,0.537,Normal,0.603,39,59.09,31.75,1.868,P10->P15->P26,56.93,0.497,0
N135,0.418,0.503,0.46,Sybil Attack,0.016,38,94.65,17.48,1.312,P7->P14->P23,48.89,0.872,0
N39,0.408,0.393,0.4,Normal,0.039,71,62.47,40.95,0.609,P10->P20->P25,37.55,0.493,0
N23,0.405,0.793,0.599,Normal,0.722,57,61.26,15.96,2.503,P6->P20->P25,15.33,0.818,0
N119,0.657,0.311,0.484,Normal,0.565,92,69.35,14.67,1.817,P9->P17->P22,36.8,0.442,0
N88,0.37,0.691,0.53,Normal,0.914,70,53.2,27.66,3.268,P5->P18->P29,21.82,0.2,0
N99,0.621,0.571,0.596,Normal,0.564,81,74.98,14.13,2.406,P8->P14->P26,28.78,0.535,0
N110,0.532,0.63,0.581,Sybil Attack,0.311,16,62.04,10.48,3.702,P8->P19->P26,45.14,0.574,0
N86,0.926,0.999,0.962,Data Tampering,0.776,42,91.16,34.9,2.316,P8->P16->P28,35.41,0.651,1
N134,0.491,0.751,0.621,Normal,0.016,57,89.65,45.36,4.1,P9->P16->P22,43.17,0.094,0
N132,0.605,0.396,0.5,Normal,0.468,58,52.59,36.69,1.192,P10->P19->P29,37.18,0.482,0
N199,0.889,0.643,0.766,Normal,0.0,28,93.22,42.22,2.602,P5->P13->P23,24.63,0.177,0
N102,0.427,0.65,0.538,Normal,0.717,17,81.48,26.59,4.531,P1->P16->P25,58.74,0.083,0
N71,0.86,0.279,0.57,Normal,0.832,29,72.76,37.55,2.085,P4->P18->P21,54.9,0.494,0
N68,0.792,0.55,0.671,Data Tampering,0.633,99,54.4,14.75,0.999,P4->P11->P29,39.62,0.527,1
N92,0.807,0.576,0.692,Normal,0.836,71,93.07,16.89,4.544,P10->P16->P25,10.21,0.981,0
N37,0.618,0.63,0.624,Normal,0.225,53,90.02,20.21,1.78,P9->P18->P26,56.31,0.013,0
N104,0.891,0.546,0.718,Normal,0.919,67,74.97,31.27,2.726,P4->P20->P24,48.93,0.657,0
N52,0.525,0.547,0.536,Sybil Attack,0.762,61,54.14,39.87,0.973,P5->P16->P30,19.9,0.469,1
N28,0.972,0.316,0.644,Normal,0.107,82,72.6,29.88,2.082,P10->P20->P27,31.62,0.229,0
N159,0.454,0.61,0.532,Data Tampering,0.259,80,89.84,40.39,3.942,P8->P14->P28,47.48,0.635,0
N59,0.306,0.29,0.298,Normal,0.87,63,95.6,9.9,3.084,P9->P12->P28,18.03,0.689,0
N89,0.572,0.203,0.387,Packet Drop,0.184,60,67.78,21.39,3.667,P4->P11->P26,7.12,0.243,0
N200,0.329,0.385,0.357,Normal,0.995,92,73.94,18.36,0.801,P6->P13->P21,52.42,0.362,0
N49,0.852,0.56,0.706,Normal,0.867,19,73.14,19.04,2.777,P8->P12->P24,41.46,0.293,0
N62,0.889,0.374,0.632,Packet Drop,0.167,64,54.88,45.36,2.517,P4->P14->P28,47.73,0.686,0
N162,0.526,0.564,0.545,Sybil Attack,0.614,76,63.36,17.71,4.394,P2->P15->P24,56.13,0.968,1
N16,0.237,0.203,0.22,Normal,0.037,40,51.56,29.36,2.584,P2->P13->P27,35.33,0.542,0
N146,0.255,0.482,0.368,Sybil Attack,0.632,21,57.28,26.79,2.039,P7->P18->P23,7.09,0.337,1
N147,0.565,0.504,0.534,Normal,0.943,40,99.84,35.55,3.539,P10->P13->P28,22.28,0.62,0
N164,0.833,0.522,0.678,Normal,0.74,55,70.47,32.66,3.986,P9->P12->P26,49.78,0.938,0
N42,0.554,0.934,0.744,Normal,0.409,67,68.42,26.72,4.049,P5->P20->P27,46.54,0.554,0
N104,0.29,0.717,0.503,Normal,0.266,74,88.01,11.35,4.625,P1->P16->P26,54.26,0.526,0
